"Date","56 m","66 m","78 m"
1993-01-01,6.533,7.012,7.1
1993-01-02,6.445,6.916,7.043
1993-01-03,6.382,6.775,6.914
1993-01-04,6.367,6.728,6.841
1993-01-05,6.283,6.65,6.812
1993-01-06,6.279,6.597,6.794
1993-01-07,6.283,6.561,6.749
1993-01-08,6.236,6.494,6.645
1993-01-09,6.176,6.418,6.533
1993-01-10,6.119,6.448,6.504
1993-01-11,6.005,6.491,6.564
1993-01-12,5.873,6.393,6.525
1993-01-13,5.811,6.359,6.535
1993-01-14,5.726,6.205,6.391
1993-01-15,5.625,6.051,6.214
1993-01-16,5.529,5.835,5.914
1993-01-17,5.491,5.668,5.703
1993-01-18,5.424,5.548,5.58
1993-01-19,5.301,5.382,5.439
1993-01-20,5.193,5.211,5.268
1993-01-21,5.138,5.12,5.154
1993-01-22,5.12,5.11,5.096
1993-01-23,5.121,5.114,5.082
1993-01-24,5.142,5.111,5.079
1993-01-25,5.173,5.115,5.088
1993-01-26,5.152,5.067,5.035
1993-01-27,5.147,5.036,4.994
1993-01-28,5.135,5.059,5.006
1993-01-29,5.061,5.009,4.962
1993-01-30,5.004,4.9,4.862
1993-01-31,4.919,4.75,4.728
1993-02-01,4.894,4.723,4.698
1993-02-02,4.883,4.785,4.755
1993-02-03,4.753,4.829,4.812
1993-02-04,4.679,4.812,4.783
1993-02-05,4.594,4.596,4.597
1993-02-06,4.535,4.514,4.544
1993-02-07,4.432,4.396,4.42
1993-02-08,4.362,4.424,4.384
1993-02-09,4.298,4.324,4.271
1993-02-10,4.239,4.288,4.275
1993-02-11,4.237,4.261,4.304
1993-02-12,4.219,4.135,4.191
1993-02-13,4.187,4.129,4.145
1993-02-14,4.198,4.099,4.088
1993-02-15,4.219,4.044,4.015
1993-02-16,4.211,4.038,4.026
1993-02-17,4.223,4.058,4.018
1993-02-18,4.228,4.043,3.992
1993-02-19,4.184,4.011,3.981
1993-02-20,4.088,3.968,3.973
1993-02-21,4.035,3.914,3.916
1993-02-22,4.004,3.901,3.914
1993-02-23,3.997,3.92,3.96
1993-02-24,4.01,3.922,3.959
1993-02-25,3.995,3.906,3.935
1993-02-26,3.941,3.871,3.892
1993-02-27,3.903,3.859,3.867
1993-02-28,3.851,3.861,3.876
1993-03-01,3.783,3.932,3.992
1993-03-02,3.716,3.896,3.995
1993-03-03,3.71,3.89,3.994
1993-03-04,3.695,3.886,3.996
1993-03-05,3.666,3.857,3.964
1993-03-06,3.652,3.836,3.916
1993-03-07,3.6,3.784,3.87
1993-03-08,3.552,3.753,3.847
1993-03-09,3.539,3.756,3.832
1993-03-10,3.547,3.742,3.808
1993-03-11,3.578,3.732,3.789
1993-03-12,3.6,3.749,3.806
1993-03-13,3.581,3.744,3.802
1993-03-14,3.595,3.698,3.752
1993-03-15,3.517,3.708,3.826
1993-03-16,3.454,3.678,3.857
1993-03-17,3.48,3.596,3.729
1993-03-18,3.478,3.588,3.656
1993-03-19,3.428,3.545,3.576
1993-03-20,3.394,3.529,3.515
1993-03-21,3.373,3.511,3.522
1993-03-22,3.371,3.483,3.482
1993-03-23,3.394,3.483,3.475
1993-03-24,3.415,3.492,3.483
1993-03-25,3.427,3.537,3.533
1993-03-26,3.427,3.569,3.587
1993-03-27,3.44,3.603,3.65
1993-03-28,3.46,3.645,3.719
1993-03-29,3.484,3.668,3.748
1993-03-30,3.519,3.717,3.79
1993-03-31,3.567,3.792,3.878
1993-04-01,3.613,3.882,3.984
1993-04-02,3.68,3.971,4.08
1993-04-03,3.747,4.012,4.147
1993-04-04,3.84,4.074,4.202
1993-04-05,3.959,4.131,4.234
1993-04-06,4.012,4.166,4.259
1993-04-07,4.135,4.248,4.285
1993-04-08,4.242,4.335,4.323
1993-04-09,4.324,4.389,4.357
1993-04-10,4.417,4.45,4.396
1993-04-11,4.505,4.514,4.446
1993-04-12,4.567,4.545,4.484
1993-04-13,4.653,4.584,4.523
1993-04-14,4.739,4.611,4.551
1993-04-15,4.779,4.616,4.534
1993-04-16,4.797,4.61,4.505
1993-04-17,4.818,4.588,4.462
1993-04-18,4.827,4.532,4.381
1993-04-19,4.849,4.475,4.291
1993-04-20,4.901,4.465,4.239
1993-04-21,4.967,4.505,4.252
1993-04-22,5.009,4.574,4.325
1993-04-23,5.02,4.599,4.367
1993-04-24,5.018,4.499,4.277
1993-04-25,5.153,4.588,4.36
1993-04-26,5.216,4.779,4.593
1993-04-27,5.235,4.817,4.682
1993-04-28,5.316,4.927,4.84
1993-04-29,5.362,5.001,5.009
1993-04-30,5.393,4.985,4.995
1993-05-01,5.4,4.953,4.943
1993-05-02,5.385,4.902,4.875
1993-05-03,5.408,4.876,4.838
1993-05-04,5.42,4.84,4.796
1993-05-05,5.385,4.792,4.739
1993-05-06,5.389,4.782,4.704
1993-05-07,5.38,4.765,4.662
1993-05-08,5.442,4.835,4.704
1993-05-09,5.453,4.866,4.743
1993-05-10,5.501,4.908,4.788
1993-05-11,5.515,4.935,4.853
1993-05-12,5.518,4.938,4.853
1993-05-13,5.547,4.983,4.908
1993-05-14,5.568,5.013,4.956
1993-05-15,5.632,5.083,5.043
1993-05-16,5.673,5.166,5.146
1993-05-17,5.666,5.218,5.234
1993-05-18,5.673,5.273,5.334
1993-05-19,5.704,5.335,5.418
1993-05-20,5.721,5.349,5.423
1993-05-21,5.75,5.36,5.406
1993-05-22,5.785,5.375,5.394
1993-05-23,5.827,5.407,5.393
1993-05-24,5.865,5.437,5.399
1993-05-25,5.868,5.448,5.396
1993-05-26,5.883,5.459,5.387
1993-05-27,5.919,5.493,5.406
1993-05-28,5.945,5.524,5.426
1993-05-29,5.988,5.571,5.469
1993-05-30,6.002,5.592,5.496
1993-05-31,6.073,5.652,5.548
1993-06-01,6.139,5.753,5.668
1993-06-02,6.127,5.779,5.722
1993-06-03,6.123,5.782,5.734
1993-06-04,6.154,5.805,5.766
1993-06-05,6.183,5.839,5.813
1993-06-06,6.19,5.85,5.856
1993-06-07,6.158,5.847,5.885
1993-06-08,6.151,5.875,5.921
1993-06-09,6.15,5.874,5.931
1993-06-10,6.13,5.814,5.86
1993-06-11,6.101,5.744,5.787
1993-06-12,6.07,5.659,5.7
1993-06-13,6.069,5.586,5.591
1993-06-14,6.074,5.581,5.561
1993-06-15,6.075,5.608,5.584
1993-06-16,6.077,5.615,5.581
1993-06-17,6.081,5.632,5.598
1993-06-18,6.08,5.636,5.606
1993-06-19,6.077,5.629,5.603
1993-06-20,6.1,5.641,5.611
1993-06-21,6.126,5.649,5.605
1993-06-22,6.139,5.665,5.614
1993-06-23,6.125,5.681,5.643
1993-06-24,6.172,5.726,5.688
1993-06-25,6.224,5.77,5.739
1993-06-26,6.215,5.786,5.775
1993-06-27,6.202,5.803,5.79
1993-06-28,6.27,5.848,5.824
1993-06-29,6.316,5.894,5.866
1993-06-30,6.357,5.95,5.92
1993-07-01,6.403,6.02,5.994
1993-07-02,6.447,6.094,6.073
1993-07-03,6.475,6.169,6.147
1993-07-04,6.464,6.218,6.189
1993-07-05,6.474,6.263,6.222
1993-07-06,6.549,6.356,6.322
1993-07-07,6.572,6.404,6.406
1993-07-08,6.6,6.382,6.394
1993-07-09,6.67,6.369,6.374
1993-07-10,6.749,6.375,6.364
1993-07-11,6.812,6.377,6.357
1993-07-12,6.862,6.367,6.35
1993-07-13,6.906,6.355,6.345
1993-07-14,6.913,6.343,6.335
1993-07-15,6.899,6.335,6.325
1993-07-16,6.859,6.319,6.307
1993-07-17,6.809,6.302,6.288
1993-07-18,6.814,6.3,6.278
1993-07-19,6.812,6.295,6.277
1993-07-20,6.787,6.281,6.269
1993-07-21,6.728,6.257,6.251
1993-07-22,6.707,6.268,6.254
1993-07-23,6.691,6.288,6.273
1993-07-24,6.675,6.312,6.298
1993-07-25,6.679,6.34,6.326
1993-07-26,6.713,6.373,6.355
1993-07-27,6.729,6.413,6.393
1993-07-28,6.716,6.428,6.411
1993-07-29,6.708,6.437,6.422
1993-07-30,6.722,6.458,6.444
1993-07-31,6.755,6.493,6.477
1993-08-01,6.795,6.538,6.517
1993-08-02,6.835,6.596,6.569
1993-08-03,6.86,6.651,6.625
1993-08-04,6.875,6.671,6.662
1993-08-05,6.915,6.695,6.698
1993-08-06,6.966,6.722,6.729
1993-08-07,7.036,6.746,6.755
1993-08-08,7.138,6.814,6.795
1993-08-09,7.198,6.873,6.843
1993-08-10,7.25,6.912,6.887
1993-08-11,7.332,6.969,6.938
1993-08-12,7.457,7.036,6.98
1993-08-13,7.609,7.097,7.017
1993-08-14,7.781,7.18,7.076
1993-08-15,7.96,7.299,7.168
1993-08-16,8.086,7.407,7.27
1993-08-17,8.23,7.519,7.385
1993-08-18,8.344,7.627,7.509
1993-08-19,8.438,7.694,7.59
1993-08-20,8.504,7.738,7.649
1993-08-21,8.573,7.774,7.691
1993-08-22,8.666,7.812,7.724
1993-08-23,8.711,7.885,7.812
1993-08-24,8.747,7.931,7.878
1993-08-25,8.795,7.971,7.923
1993-08-26,8.794,8.003,7.988
1993-08-27,8.81,8.042,8.048
1993-08-28,8.851,8.094,8.095
1993-08-29,8.871,8.127,8.163
1993-08-30,8.913,8.167,8.217
1993-08-31,8.94,8.221,8.249
1993-09-01,8.953,8.276,8.281
1993-09-02,8.952,8.312,8.33
1993-09-03,8.93,8.372,8.391
1993-09-04,8.885,8.402,8.447
1993-09-05,8.886,8.416,8.52
1993-09-06,8.9,8.468,8.595
1993-09-07,8.923,8.524,8.646
1993-09-08,8.962,8.582,8.698
1993-09-09,8.997,8.66,8.783
1993-09-10,9.025,8.739,8.864
1993-09-11,9.049,8.791,8.969
1993-09-12,9.074,8.859,9.191
1993-09-13,9.154,8.944,9.403
1993-09-14,9.236,9.057,9.617
1993-09-15,9.319,9.248,10.011
1993-09-16,9.399,9.524,10.56
1993-09-17,9.567,9.414,10.451
1993-09-18,9.613,9.391,10.224
1993-09-19,9.654,9.458,10.279
1993-09-20,9.647,9.568,10.505
1993-09-21,9.579,9.66,10.597
1993-09-22,9.555,9.829,10.851
1993-09-23,9.617,9.962,11.074
1993-09-24,9.709,10.189,11.38
1993-09-25,9.855,10.376,11.688
1993-09-26,9.986,10.453,11.841
1993-09-27,10.063,10.597,11.927
1993-09-28,10.132,10.792,12.12
1993-09-29,10.182,11.283,12.549
1993-09-30,10.305,11.177,12.782
1993-10-01,10.448,11.165,12.692
1993-10-02,10.56,11.216,12.582
1993-10-03,10.64,11.153,12.544
1993-10-04,10.626,11.411,12.916
1993-10-05,10.608,11.699,13.416
1993-10-06,10.686,11.925,13.796
1993-10-07,10.821,12.038,13.83
1993-10-08,10.953,12.231,13.848
1993-10-09,11.158,12.112,13.873
1993-10-10,11.274,11.918,13.598
1993-10-11,11.371,11.633,13.225
1993-10-12,11.428,11.28,12.309
1993-10-13,11.466,11.203,11.534
1993-10-14,11.517,11.342,11.472
1993-10-15,11.56,11.276,11.412
1993-10-16,11.609,11.111,11.298
1993-10-17,11.642,10.995,11.176
1993-10-18,11.64,11.002,11.157
1993-10-19,11.658,11.205,11.369
1993-10-20,11.747,11.223,11.378
1993-10-21,11.885,11.092,11.179
1993-10-22,11.91,11.063,11.082
1993-10-23,12.002,11.294,11.314
1993-10-24,12.138,11.434,11.408
1993-10-25,12.247,11.39,11.369
1993-10-26,12.328,11.471,11.491
1993-10-27,12.293,11.234,11.23
1993-10-28,12.273,11.078,11.024
1993-10-29,12.256,11.216,11.116
1993-10-30,12.214,11.263,11.143
1993-10-31,12.15,11.212,11.104
1993-11-01,12.081,11.159,11.08
1993-11-02,12.042,11.123,11.064
1993-11-03,12.037,11.158,11.134
1993-11-04,11.942,11.039,11.015
1993-11-05,11.875,11.004,11.003
1993-11-06,11.769,10.947,10.983
1993-11-07,11.68,10.958,11.136
1993-11-08,11.623,10.948,11.204
1993-11-09,11.586,10.876,11.11
1993-11-10,11.518,10.824,11.071
1993-11-11,11.403,10.731,10.936
1993-11-12,11.312,10.645,10.729
1993-11-13,11.297,10.644,10.739
1993-11-14,11.234,10.595,10.641
1993-11-15,11.171,10.562,10.641
1993-11-16,11.128,10.552,10.661
1993-11-17,11.088,10.485,10.545
1993-11-18,11.075,10.513,10.577
1993-11-19,11.059,10.547,10.618
1993-11-20,11.021,10.505,10.495
1993-11-21,11.107,10.617,10.635
1993-11-22,11.107,10.76,10.823
1993-11-23,11.057,10.795,10.853
1993-11-24,10.969,10.698,10.739
1993-11-25,10.872,10.575,10.544
1993-11-26,10.662,10.415,10.234
1993-11-27,10.605,10.333,10.111
1993-11-28,10.527,10.221,10.061
1993-11-29,10.731,10.266,10.119
1993-11-30,10.764,10.314,10.166
1993-12-01,10.576,10.214,10.05
1993-12-02,10.48,10.13,9.992
1993-12-03,10.549,10.171,10.038
1993-12-04,10.527,10.178,10.048
1993-12-05,10.473,10.157,10.043
1993-12-06,10.474,10.16,10.058
1993-12-07,10.427,10.153,10.063
1993-12-08,10.387,10.115,10.037
1993-12-09,10.324,10.055,9.972
1993-12-10,10.22,9.964,9.884
1993-12-11,10.191,9.923,9.84
1993-12-12,10.242,9.968,9.867
1993-12-13,10.169,9.89,9.777
1993-12-14,10.065,9.753,9.646
1993-12-15,9.998,9.682,9.585
1993-12-16,9.924,9.647,9.579
1993-12-17,9.566,9.401,9.384
1993-12-18,9.462,9.275,9.224
1993-12-19,9.489,9.316,9.348
1993-12-20,9.437,9.453,10.01
1993-12-21,9.416,9.797,10.829
1993-12-22,9.396,9.951,11.089
1993-12-23,9.359,10.626,11.75
1993-12-24,9.218,10.334,11.665
1993-12-25,9.121,9.922,10.702
1993-12-26,9.065,9.734,10.519
1993-12-27,8.854,10.432,11.262
1993-12-28,8.618,10.584,11.634
1993-12-29,8.478,9.948,11.208
1993-12-30,8.397,9.169,10.096
1993-12-31,8.279,9.357,9.488
1994-01-01,8.182,9.572,9.438
1994-01-02,8.08,9.169,9.012
1994-01-03,8.017,8.956,8.971
1994-01-04,7.943,8.342,8.513
1994-01-05,7.964,8.203,8.14
1994-01-06,7.876,8.558,8.267
1994-01-07,7.654,8.515,8.16
1994-01-08,7.548,8.124,7.968
1994-01-09,7.464,7.803,7.722
1994-01-10,7.264,7.644,7.669
1994-01-11,7.11,7.309,7.415
1994-01-12,7.043,7.176,7.033
1994-01-13,6.935,7.179,7.009
1994-01-14,6.854,7.156,7.075
1994-01-15,6.728,7.122,7.15
1994-01-16,6.421,6.861,6.867
1994-01-17,6.211,6.406,6.485
1994-01-18,6.075,6.207,6.252
1994-01-19,5.744,6.055,6.12
1994-01-20,5.634,5.889,5.949
1994-01-21,5.606,5.803,5.843
1994-01-22,5.494,5.727,5.76
1994-01-23,5.325,5.585,5.629
1994-01-24,5.317,5.533,5.575
1994-01-25,5.276,5.499,5.542
1994-01-26,5.251,5.462,5.494
1994-01-27,5.178,5.379,5.406
1994-01-28,5.098,5.312,5.343
1994-01-29,4.925,5.201,5.235
1994-01-30,4.872,5.081,5.117
1994-01-31,4.985,5.084,5.096
1994-02-01,4.958,5.069,5.055
1994-02-02,4.851,4.999,5.002
1994-02-03,4.838,4.948,4.961
1994-02-04,4.744,4.845,4.878
1994-02-05,4.696,4.778,4.836
1994-02-06,4.719,4.795,4.855
1994-02-07,4.708,4.787,4.856
1994-02-08,4.688,4.734,4.816
1994-02-09,4.656,4.704,4.78
1994-02-10,4.606,4.712,4.765
1994-02-11,4.544,4.652,4.696
1994-02-12,4.523,4.608,4.653
1994-02-13,4.505,4.605,4.647
1994-02-14,4.456,4.582,4.643
1994-02-15,4.385,4.495,4.545
1994-02-16,4.398,4.41,4.454
1994-02-17,4.387,4.356,4.376
1994-02-18,4.367,4.305,4.318
1994-02-19,4.38,4.266,4.294
1994-02-20,4.364,4.246,4.296
1994-02-21,4.397,4.24,4.33
1994-02-22,4.425,4.235,4.34
1994-02-23,4.47,4.246,4.3
1994-02-24,4.505,4.284,4.283
1994-02-25,4.478,4.342,4.383
1994-02-26,4.496,4.359,4.405
1994-02-27,4.471,4.254,4.325
1994-02-28,4.393,4.147,4.212
1994-03-01,4.356,4.096,4.141
1994-03-02,4.344,4.082,4.098
1994-03-03,4.372,4.14,4.13
1994-03-04,4.335,4.178,4.17
1994-03-05,4.35,4.176,4.173
1994-03-06,4.431,4.218,4.204
1994-03-07,4.49,4.317,4.27
1994-03-08,4.522,4.393,4.336
1994-03-09,4.595,4.385,4.364
1994-03-10,4.668,4.46,4.401
1994-03-11,4.723,4.622,4.486
1994-03-12,4.753,4.582,4.501
1994-03-13,4.768,4.822,4.693
1994-03-14,4.78,4.899,4.834
1994-03-15,4.804,4.827,4.83
1994-03-16,4.837,4.832,4.918
1994-03-17,4.864,4.791,4.858
1994-03-18,4.873,4.776,4.804
1994-03-19,4.899,4.796,4.832
1994-03-20,4.945,4.851,4.867
1994-03-21,4.985,4.896,4.887
1994-03-22,5.02,4.965,4.925
1994-03-23,5.03,5.004,4.958
1994-03-24,5.073,5.008,4.965
1994-03-25,5.086,5.072,5.035
1994-03-26,5.08,5.075,5.049
1994-03-27,5.09,5.078,5.046
1994-03-28,5.106,5.135,5.097
1994-03-29,5.105,5.126,5.095
1994-03-30,5.149,5.211,5.18
1994-03-31,5.15,5.266,5.259
1994-04-01,5.144,5.226,5.223
1994-04-02,5.177,5.262,5.265
1994-04-03,5.214,5.366,5.389
1994-04-04,5.204,5.386,5.438
1994-04-05,5.217,5.357,5.409
1994-04-06,5.258,5.414,5.491
1994-04-07,5.252,5.404,5.498
1994-04-08,5.234,5.334,5.422
1994-04-09,5.284,5.329,5.394
1994-04-10,5.31,5.382,5.419
1994-04-11,5.291,5.362,5.399
1994-04-12,5.323,5.351,5.361
1994-04-13,5.362,5.451,5.448
1994-04-14,5.384,5.545,5.584
1994-04-15,5.371,5.512,5.579
1994-04-16,5.4,5.531,5.61
1994-04-17,5.421,5.562,5.658
1994-04-18,5.426,5.543,5.654
1994-04-19,5.445,5.527,5.642
1994-04-20,5.46,5.518,5.636
1994-04-21,5.488,5.491,5.601
1994-04-22,5.525,5.469,5.565
1994-04-23,5.567,5.474,5.545
1994-04-24,5.577,5.475,5.531
1994-04-25,5.627,5.457,5.491
1994-04-26,5.685,5.558,5.587
1994-04-27,5.711,5.603,5.65
1994-04-28,5.696,5.562,5.63
1994-04-29,5.754,5.544,5.597
1994-04-30,5.788,5.623,5.681
1994-05-01,5.821,5.652,5.713
1994-05-02,5.828,5.671,5.742
1994-05-03,5.847,5.657,5.734
1994-05-04,5.879,5.688,5.771
1994-05-05,5.936,5.747,5.836
1994-05-06,5.896,5.792,5.932
1994-05-07,5.883,5.816,6.018
1994-05-08,5.95,5.867,6.088
1994-05-09,5.95,5.951,6.157
1994-05-10,5.925,6.021,6.273
1994-05-11,5.957,6.07,6.346
1994-05-12,5.989,6.094,6.315
1994-05-13,6.007,6.094,6.288
1994-05-14,6.016,6.107,6.308
1994-05-15,6.087,6.124,6.314
1994-05-16,6.179,6.181,6.288
1994-05-17,6.212,6.264,6.311
1994-05-18,6.25,6.332,6.365
1994-05-19,6.291,6.411,6.454
1994-05-20,6.327,6.468,6.518
1994-05-21,6.302,6.466,6.523
1994-05-22,6.295,6.455,6.521
1994-05-23,6.32,6.459,6.531
1994-05-24,6.344,6.47,6.541
1994-05-25,6.401,6.512,6.576
1994-05-26,6.42,6.545,6.622
1994-05-27,6.451,6.552,6.636
1994-05-28,6.503,6.575,6.656
1994-05-29,6.547,6.631,6.7
1994-05-30,6.558,6.657,6.723
1994-05-31,6.567,6.681,6.753
1994-06-01,6.593,6.701,6.784
1994-06-02,6.665,6.734,6.831
1994-06-03,6.722,6.771,6.88
1994-06-04,6.801,6.804,6.926
1994-06-05,6.901,6.854,6.972
1994-06-06,6.978,6.904,7.014
1994-06-07,7.043,6.943,7.054
1994-06-08,7.082,6.985,7.12
1994-06-09,7.145,7.02,7.133
1994-06-10,7.168,7.046,7.127
1994-06-11,7.191,7.07,7.14
1994-06-12,7.224,7.096,7.158
1994-06-13,7.264,7.123,7.176
1994-06-14,7.294,7.149,7.198
1994-06-15,7.323,7.176,7.225
1994-06-16,7.385,7.216,7.257
1994-06-17,7.43,7.257,7.292
1994-06-18,7.468,7.295,7.327
1994-06-19,7.503,7.33,7.363
1994-06-20,7.554,7.366,7.398
1994-06-21,7.592,7.404,7.432
1994-06-22,7.614,7.439,7.469
1994-06-23,7.652,7.496,7.529
1994-06-24,7.721,7.566,7.601
1994-06-25,7.819,7.643,7.677
1994-06-26,7.899,7.713,7.76
1994-06-27,7.969,7.774,7.836
1994-06-28,8.05,7.844,7.905
1994-06-29,8.121,7.911,7.973
1994-06-30,8.152,7.954,8.017
1994-07-01,8.194,7.992,8.055
1994-07-02,8.254,8.032,8.097
1994-07-03,8.307,8.064,8.134
1994-07-04,8.361,8.094,8.169
1994-07-05,8.424,8.12,8.197
1994-07-06,8.478,8.138,8.213
1994-07-07,8.527,8.163,8.231
1994-07-08,8.57,8.162,8.221
1994-07-09,8.594,8.139,8.195
1994-07-10,8.618,8.113,8.157
1994-07-11,8.638,8.122,8.157
1994-07-12,8.667,8.144,8.17
1994-07-13,8.701,8.16,8.18
1994-07-14,8.756,8.246,8.269
1994-07-15,8.851,8.324,8.348
1994-07-16,8.936,8.373,8.395
1994-07-17,9.031,8.472,8.494
1994-07-18,9.146,8.538,8.548
1994-07-19,9.193,8.575,8.587
1994-07-20,9.233,8.637,8.65
1994-07-21,9.24,8.661,8.678
1994-07-22,9.235,8.664,8.68
1994-07-23,9.215,8.682,8.701
1994-07-24,9.224,8.725,8.748
1994-07-25,9.278,8.74,8.756
1994-07-26,9.312,8.739,8.754
1994-07-27,9.342,8.755,8.769
1994-07-28,9.389,8.797,8.81
1994-07-29,9.426,8.842,8.858
1994-07-30,9.453,8.889,8.911
1994-07-31,9.477,8.926,8.952
1994-08-01,9.504,8.957,8.988
1994-08-02,9.535,8.993,9.032
1994-08-03,9.594,9.034,9.076
1994-08-04,9.649,9.073,9.111
1994-08-05,9.657,9.111,9.153
1994-08-06,9.667,9.153,9.212
1994-08-07,9.695,9.197,9.269
1994-08-08,9.719,9.236,9.289
1994-08-09,9.737,9.276,9.308
1994-08-10,9.726,9.312,9.34
1994-08-11,9.693,9.335,9.364
1994-08-12,9.672,9.359,9.385
1994-08-13,9.667,9.382,9.41
1994-08-14,9.643,9.412,9.467
1994-08-15,9.617,9.549,9.809
1994-08-16,9.649,9.909,10.733
1994-08-17,9.711,10.262,11.449
1994-08-18,9.844,10.461,11.687
1994-08-19,9.98,10.672,11.825
1994-08-20,10.131,10.708,11.84
1994-08-21,10.245,10.768,11.739
1994-08-22,10.356,10.875,11.712
1994-08-23,10.483,10.933,11.824
1994-08-24,10.566,10.78,11.588
1994-08-25,10.657,10.665,11.274
1994-08-26,10.74,10.755,11.316
1994-08-27,10.827,10.948,11.586
1994-08-28,10.925,11.143,11.889
1994-08-29,11.04,11.352,12.127
1994-08-30,11.184,11.636,12.24
1994-08-31,11.312,11.765,12.047
1994-09-01,11.447,11.764,11.767
1994-09-02,11.556,11.695,11.595
1994-09-03,11.643,11.653,11.559
1994-09-04,11.698,11.662,11.59
1994-09-05,11.666,11.532,11.572
1994-09-06,11.645,11.42,11.576
1994-09-07,11.675,11.49,11.771
1994-09-08,11.618,11.434,11.702
1994-09-09,11.576,11.265,11.535
1994-09-10,11.573,11.122,11.343
1994-09-11,11.598,11.095,11.214
1994-09-12,11.624,11.137,11.249
1994-09-13,11.63,11.166,11.329
1994-09-14,11.606,11.141,11.342
1994-09-15,11.59,11.101,11.307
1994-09-16,11.597,11.05,11.209
1994-09-17,11.607,11.017,11.111
1994-09-18,11.61,11.103,11.172
1994-09-19,11.635,11.156,11.239
1994-09-20,11.636,11.071,11.17
1994-09-21,11.663,11.075,11.165
1994-09-22,11.697,11.054,11.117
1994-09-23,11.706,10.989,10.998
1994-09-24,11.73,11.018,10.962
1994-09-25,11.752,11.11,11.028
1994-09-26,11.685,11.085,11
1994-09-27,11.654,11.089,11
1994-09-28,11.66,11.11,11.025
1994-09-29,11.656,11.105,11
1994-09-30,11.65,11.116,10.969
1994-10-01,11.657,11.139,10.974
1994-10-02,11.676,11.145,10.995
1994-10-03,11.679,11.132,11.021
1994-10-04,11.689,11.134,11.07
1994-10-05,11.716,11.1,11.029
1994-10-06,11.764,11.065,10.954
1994-10-07,11.807,11.022,10.87
1994-10-08,11.826,10.987,10.8
1994-10-09,11.835,10.973,10.763
1994-10-10,11.845,10.961,10.741
1994-10-11,11.881,10.951,10.721
1994-10-12,11.988,10.971,10.736
1994-10-13,12.041,11.025,10.85
1994-10-14,12.032,11.087,10.945
1994-10-15,12.065,11.176,11.031
1994-10-16,12.065,11.212,11.134
1994-10-17,12.116,11.239,11.217
1994-10-18,12.126,11.163,11.168
1994-10-19,12.065,11.161,11.032
1994-10-20,12.021,11.273,11.12
1994-10-21,12.075,11.366,11.249
1994-10-22,12.094,11.418,11.454
1994-10-23,12.158,11.533,11.726
1994-10-24,12.194,11.586,11.864
1994-10-25,12.196,11.606,11.954
1994-10-26,12.185,11.604,11.98
1994-10-27,12.169,11.644,12.066
1994-10-28,12.158,11.673,12.112
1994-10-29,12.163,11.785,12.255
1994-10-30,12.184,12.001,12.556
1994-10-31,12.209,12.249,12.922
1994-11-01,12.221,12.294,12.996
1994-11-02,12.258,12.437,13.158
1994-11-03,12.368,13.026,13.842
1994-11-04,12.408,13.192,14.189
1994-11-05,12.404,13.085,13.88
1994-11-06,12.468,13.239,14.033
1994-11-07,12.479,13.323,14.221
1994-11-08,12.513,13.72,14.776
1994-11-09,12.46,13.821,14.947
1994-11-10,12.327,13.636,14.697
1994-11-11,12.14,13.461,14.422
1994-11-12,11.926,13.335,14.36
1994-11-13,11.79,12.993,13.791
1994-11-14,11.721,12.688,13.146
1994-11-15,11.694,12.551,12.648
1994-11-16,11.769,12.73,12.7
1994-11-17,11.63,12.512,12.553
1994-11-18,11.547,12.181,12.345
1994-11-19,11.497,12.021,12.163
1994-11-20,11.4,12.074,12.148
1994-11-21,11.341,11.821,11.926
1994-11-22,11.259,11.462,11.643
1994-11-23,10.996,11.369,11.529
1994-11-24,10.751,11.198,11.251
1994-11-25,10.592,11.024,11.057
1994-11-26,10.44,10.911,10.99
1994-11-27,10.369,10.816,10.892
1994-11-28,10.311,10.724,10.76
1994-11-29,10.178,10.629,10.713
1994-11-30,10.069,10.55,10.681
1994-12-01,10.005,10.497,10.621
1994-12-02,9.91,10.419,10.519
1994-12-03,9.787,10.305,10.428
1994-12-04,9.773,10.295,10.411
1994-12-05,9.774,10.312,10.426
1994-12-06,9.736,10.26,10.393
1994-12-07,9.714,10.201,10.347
1994-12-08,9.708,10.156,10.303
1994-12-09,9.542,10.032,10.176
1994-12-10,9.522,10.004,10.128
1994-12-11,9.461,9.958,10.092
1994-12-12,9.358,9.851,10.013
1994-12-13,9.271,9.764,9.941
1994-12-14,9.213,9.683,9.864
1994-12-15,9.177,9.627,9.785
1994-12-16,9.108,9.542,9.688
1994-12-17,9.088,9.481,9.577
1994-12-18,9.058,9.444,9.52
1994-12-19,9.029,9.41,9.488
1994-12-20,8.961,9.338,9.399
1994-12-21,8.872,9.221,9.283
1994-12-22,8.797,9.141,9.217
1994-12-23,8.784,9.102,9.183
1994-12-24,8.83,9.084,9.151
1994-12-25,8.816,9.069,9.129
1994-12-26,8.856,9.058,9.112
1994-12-27,8.844,9.02,9.064
1994-12-28,8.791,8.939,8.982
1994-12-29,8.735,8.893,8.943
1994-12-30,8.491,8.75,8.865
1994-12-31,8.273,8.546,8.645
1995-01-01,8.223,8.472,8.568
1995-01-02,8.137,8.449,8.547
1995-01-03,8.025,8.404,8.504
1995-01-04,7.829,8.323,8.445
1995-01-05,7.615,8.188,8.34
1995-01-06,7.365,8.002,8.182
